"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","G","KP","SOT","TkW","DPt2","AP","Int","AER","CSD"
"*05t6y*","Hannibal Mejbri","MUN","M","476","FA","MUN 2<br/>@WOL 1 F","18.18","-","-","-","-","1","0","0","0","0","0","3","0","0","0"
"*02lk9*","Martin Kelly","CRY","D","477","FA","CRY 0<br/>@LIV 2 F","18.13","-","-","-","-","1","0","0","0","0","0","2","0","0","0"
"*05rff*","Jaden Philogene-Bidace","AVL","M","478","FA","CHE 1<br/>@AVL 2 F","18.13","-","-","-","-","1","0","0","0","0","0","2","0","0","0"
"*05opj*","Elliot Anderson","NEW","M","479","FA","NEW 2<br/>@FUL 0 F","18.09","-","-","-","-","1","0","0","0","0","0","1","0","0","0"
"*05o2r*","Antwoine Hackford","SHU","F","480","FA","BUR 0<br/>@SHU 1 F","18.09","-","-","-","-","1","0","0","0","0","0","1","0","0","0"
"*05rkk*","William Fish","MUN","D","481","FA","MUN 2<br/>@WOL 1 F","18.05","-","-","-","-","1","0","0","0","0","0","0","0","0","0"
"*05r4o*","Reda Khadra","BHA","M","482","FA","BHA 0<br/>@ARS 2 F","18.05","-","-","-","-","1","0","0","0","0","0","0","0","0","0"
"*058vg*","Lewis Richardson","BUR","M","483","FA","BUR 0<br/>@SHU 1 F","18.05","-","-","-","-","2","0","0","0","0","0","0","0","0","0"
"*05nip*","Dane Scarlett","TOT","F","484","FA","TOT 4<br/>@LEI 2 F","18.05","-","-","-","-","1","0","0","0","0","0","0","0","0","0"
"*05t6a*","Femi Seriki","SHU","M","485","FA","BUR 0<br/>@SHU 1 F","18.05","-","-","-","-","1","0","0","0","0","0","0","0","0","0"
"*0554r*","Caleb Watts","SOU","M","486","FA","SOU 0<br/>@WHU 3 F","17.69","-","-","-","-","3","0","0","0","1","1","7","0","1","0"
"*02m2y*","Neil Taylor","AVL","D","487","FA","CHE 1<br/>@AVL 2 F","17.57","-","-","-","-","1","0","0","0","1","1","9","0","0","0"
"*05m6a*","Joel Mumbongo","BUR","F","488","FA","BUR 0<br/>@SHU 1 F","17.36","-","-","-","-","4","0","0","0","0","1","4","0","0","0"
